Site,year,Month,DateDay,SumOfKwh,Level,Meter
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,2073.00,GMez & L1 - NBC CSG,0) L1 Core 1 Tenant NE Riser BD/TNE1P/L1
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,5833.00,GMez & L1 - NBC CSG,0) L1 Core 1 Tenant NW Riser BD/TNW1P/L1
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,2492.00,GMez & L1 - NBC CSG,0) L1 Core 1 Tenant SE Riser BD/TSE1P/L1
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,3695.00,GMez & L1 - NBC CSG,0) L1 Core 1 Tenant SW Riser BD/TSW1P/L1
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,3240.00,GMez & L1 - NBC CSG,0) L1 Core 2 Tenant N Riser BD/TNW2L/L1
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,3581.00,GMez & L1 - NBC CSG,0) L1 Core 3 Tenant SW Riser BD/TSW2L/L1
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,1865.00,GMez & L1 - NBC CSG,131) A17 LV3 Spare DB/B2/IT
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,87585.00,GMez & L1 - NBC CSG,142) A6 LV3 NBC MER I/O Panel (Spare)
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,2889.00,GMez & L1 - NBC CSG,278) L1 Core 1 Tenant NW Riser BD/TNW1L/L1
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,4152.00,GMez & L1 - NBC CSG,281) L1 Core 2 Tenant N Riser BD/TNW2L(P)/L1
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,2781.00,GMez & L1 - NBC CSG,282) L1 Core 1 Tenant NE Riser BD/TNE1L/L1
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,2269.00,GMez & L1 - NBC CSG,283) L1 Core 1 Tenant SE Riser BD/TSE1L/L1
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,2114.00,GMez & L1 - NBC CSG,284) L1 Core 3 Tenant SW Riser BD/TSW2L(P)/L1
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,0.00,GMez & L1 - NBC CSG,287) L1 Core 1 Tenant SW Riser BD/TSW1L/L1
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,2506.00,GMez & L1 - NBC CSG,293) GF Core 1 Tenant NE Riser BD/TNEL/1PG__
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,822.00,GMez & L1 - NBC CSG,294) GF Core 1 Tenant SE Riser BD/TSEL/__
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,1827.00,GMez & L1 - NBC CSG,Central (Landlord's) Air Handling
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,33429.00,GMez & L1 - NBC CSG,Central (Landlord's) Chillers/Pumps
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,2336.00,GMez & L1 - NBC CSG,Central (Landlord's) Misc Plant/Equipment
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,4462.00,GMez & L1 - NBC CSG,Common Area
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,2067.00,L2 & L3 N,0) L2 Core 1 Tenant NE Riser BD/TNE1P/L2
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,2685.00,L2 & L3 N,0) L2 Core 1 Tenant NW Riser BD/TNW1P/L2
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,2209.00,L2 & L3 N,0) L2 Core 1 Tenant SE Riser BD/TSE1P/L2
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,4643.00,L2 & L3 N,0) L2 Core 1 Tenant SW Riser BD/TSW1P/L2
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,280.00,L2 & L3 N,0) L2 Core 2 Tenant N Riser BD/TNW2L/L2
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,3698.00,L2 & L3 N,0) L2 Core 3 Tenant SW Riser BD/TSW2P/L2
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,1021.00,L2 & L3 N,0) L3 Core 1 Tenant NE Riser BD/TNE1L/L3
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,2862.00,L2 & L3 N,0) L3 Core 1 Tenant NW Riser BD/TNW1P/L3 new
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,3959.00,L2 & L3 N,0) L3 Core 1 Tenant NW Riser DB dub new
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,4969.00,L2 & L3 N,0) L3 Core 2 Tenant N Riser BD/TNW2L/L1
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,3247.00,L2 & L3 N,0) L3 Core 2 Tenant NW2 Riser BD/P
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,4637.00,L2 & L3 N,261) L3 Core 2 Tenant N Riser BD/TNW2L(P)/L3
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,8070.00,L2 & L3 N,262) L3 Core 1 Tenant NE Riser BD/TNE1L/L3 new
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,3415.00,L2 & L3 N,268) L2 Core 1 Tenant NW Riser BD/TNW1L/L2
