Site,Level,Meter,DateDay,kWh
1,L2 & L3 N,273) L2 Core 1 Tenant SE Riser BD/TSE1L/L2,1/6/2017 00:00:00,2739
1,L2 & L3 N,0) L2 Core 1 Tenant SE Riser BD/TSE1P/L2,1/6/2017 00:00:00,2468
1,L2 & L3 N,274) L2 Core 3 Tenant SW Riser BD/TSW2L/L2,1/6/2017 00:00:00,2834
1,L2 & L3 N,0) L2 Core 3 Tenant SW Riser BD/TSW2P/L2,1/6/2017 00:00:00,3577
1,L2 & L3 N,77) L2 Core 1 Tenant SW Riser BD/TSW1L/L2,1/6/2017 00:00:00,3160
1,L2 & L3 N,0) L2 Core 1 Tenant SW Riser BD/TSW1P/L2,1/6/2017 00:00:00,3739
1,L2 & L3 N,i) 258) L3 Core 1 Tenant NW Riser BD/TNW1L/L3,1/6/2017 00:00:00,1568
1,L2 & L3 N,272) L2 Core 1 Tenant NE Riser BD/TNE1L/L2,1/6/2017 00:00:00,3311
12,Studio 5.03,E14D00493,1/7/2017 00:00:00,4578
1,L2 & L3 N,0) L2 Core 3 Tenant SW Riser BD/TSW2P/L2,1/7/2017 00:00:00,3220
1,L2 & L3 N,274) L2 Core 3 Tenant SW Riser BD/TSW2L/L2,1/7/2017 00:00:00,2614
1,L2 & L3 N,0) L2 Core 1 Tenant SE Riser BD/TSE1P/L2,1/7/2017 00:00:00,1978
1,L2 & L3 N,273) L2 Core 1 Tenant SE Riser BD/TSE1L/L2,1/7/2017 00:00:00,2340
1,L2 & L3 N,0) L2 Core 1 Tenant NE Riser BD/TNE1P/L2,1/7/2017 00:00:00,2015
1,L2 & L3 N,272) L2 Core 1 Tenant NE Riser BD/TNE1L/L2,1/7/2017 00:00:00,2983
1,L2 & L3 N,0) L2 Core 2 Tenant N Riser BD/TNW2L/L2,1/7/2017 00:00:00,270
1,L2 & L3 N,77) L2 Core 1 Tenant SW Riser BD/TSW1L/L2,1/7/2017 00:00:00,3840
1,Level 10,0) L10 Core 1 Tenant SW Riser BD/TSW1P/L10 & New,1/7/2017 00:00:00,2366
1,Level 10,0) L10 Core 2 Tenant N Riser BD/TNW2P/L10 & New,1/7/2017 00:00:00,1012
1,L2 & L3 N,0) L2 Core 1 Tenant NW Riser BD/TNW1P/L2,1/7/2017 00:00:00,3533
1,L2 & L3 N,268) L2 Core 1 Tenant NW Riser BD/TNW1L/L2,1/7/2017 00:00:00,3365
1,L2 & L3 N,271) L2 Core 2 Tenant N Riser BD/TNW2L(P)/L2,1/7/2017 00:00:00,4731
1,L2 & L3 N,0) L2 Core 1 Tenant SW Riser BD/TSW1P/L2,1/7/2017 00:00:00,4217
12,Studio 5.02,E14D00499,1/7/2017 00:00:00,1664
1,Level 10,199) L10 Core 1 Tenant SW Riser BD/TSW1L/L10,1/7/2017 00:00:00,1226
1,Level 10,195) L10 Core 1 Tenant NE Riser BD/TNE1L/L10,1/7/2017 00:00:00,1292
1,Level 10,0) L10 Core 2 Comms supply & New,1/7/2017 00:00:00,843
1,Level 10,Central (Landlord's) Chillers/Pumps kWh:,1/7/2017 00:00:00,4781
1,Level 10,Common Area,1/7/2017 00:00:00,3384
1,Level 10,Central (Landlord's) Air Handling kWh,1/7/2017 00:00:00,1215
1,Level 10,Central (Landlord's) Misc Plant/Equipment kWh,1/7/2017 00:00:00,1425
1,Level 10,191) L10 Core 1 Tenant NW Riser BD/TNW1L/L10,1/7/2017 00:00:00,1508
1,Level 10,0) L10 Core 1 Tenant NW Riser BD/TNW1P/L10 & New,1/7/2017 00:00:00,1827
1,Level 10,194) L10 Core 2 Tenant N Riser BD/TNW2L/L10,1/7/2017 00:00:00,1824
1,L2 & L3 N,0) L3 Core 2 Tenant NW2 Riser BD/P,1/7/2017 00:00:00,3906
1,Level 10,196) L10 Core 1 Tenant SE Riser BD/TSE1L/L10,1/7/2017 00:00:00,1260
1,GMez & L1 - NBC CSG,278) L1 Core 1 Tenant NW Riser BD/TNW1L/L1,1/7/2017 00:00:00,686
1,GMez & L1 - NBC CSG,0) L1 Core 3 Tenant SW Riser BD/TSW2L/L1,1/7/2017 00:00:00,3238
1,GMez & L1 - NBC CSG,131) A17 LV3 Spare DB/B2/IT,1/7/2017 00:00:00,1850
1,L2 & L3 N,Common Area,1/7/2017 00:00:00,8637
1,L2 & L3 N,Central (Landlord's) Chillers/Pumps kWh:,1/7/2017 00:00:00,22624
1,L2 & L3 N,Central (Landlord's) Air Handling kWh,1/7/2017 00:00:00,3100
1,L2 & L3 N,Central (Landlord's) Misc Plant/Equipment kWh,1/7/2017 00:00:00,3421
7,Building,S23553105,1/7/2017 00:00:00,7482
1,GMez & L1 - NBC CSG,Central (Landlord's) Misc Plant/Equipment,1/7/2017 00:00:00,2310
1,GMez & L1 - NBC CSG,Central (Landlord's) Air Handling,1/7/2017 00:00:00,2208
1,GMez & L1 - NBC CSG,142) A6 LV3 NBC MER I/O Panel (Spare),1/7/2017 00:00:00,81539
1,GMez & L1 - NBC CSG,Common Area,1/7/2017 00:00:00,6151
1,GMez & L1 - NBC CSG,293) GF Core 1 Tenant NE Riser BD/TNEL/1PG__,1/7/2017 00:00:00,3616
